Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross margin percentage,Gross income,Rating,Customer Age,Discount,Membership duration,Loyalty points,Feedback,Product
320-53-2674,A,Naypyitaw,Member,male,Food and beverages,34.0,10,43.83,701.98,2021-02-02,17:48,Ewallet,531.18,4.76,2.42,5.7,52.0,0.0,,30,Good,Coffee
194-58-2584,C,Mandalay,Member,Female,Health and beauty,72.64,2,18.1,,2021-03-02,16:59,cash,731.51,4.76,2.81,8.5,,0.0,21.0,41,Poor,Soap
467-54-5333,B,Mandalay,Normal,Female,Electronic accessories,62.92,2,27.22,686.69,2021-01-04,12:12,Cash,486.7,4.76,3.36,7.2,38.0,0.0,,10,Poor,Charger
926-15-8527,B,Naypyitaw,Member,FEMALE,Health and beauty,98.72,10,6.35,101.79,2021-05-02,18:47,Cash,303.92,4.76,30.18,4.8,,0.03,,61,Excellent,Shampoo
649-25-7201,B,Naypyitaw,Normal,male,Fashion accessories,44.0,9,6.31,754.96,2021-01-09,20:13,Credit card,442.0,4.76,17.67,5.8,,0.0,9.0,39,Good,Scarf
180-80-5803,A,Mandalay,Member,male,Food and beverages,45.13,5,20.45,816.77,2021-05-02,9:18,Cash,444.13,4.76,12.17,,33.0,0.0,54.0,43,Poor,Tea
949-90-6925,A,Mandalay,Normal,FEMALE,Sports and travel,61.53,1,20.67,526.96,2021-06-02,18:12,Credit card,314.75,4.76,1.83,,,0.0,,32,Good,Water Bottle
691-34-2139,A,Mandalay,Member,FEMALE,Electronic accessories,82.75,9,17.78,726.42,2021-02-02,15:24,Ewallet,895.72,4.76,45.39,4.6,57.0,0.0,,48,EXCELLENT,Headphones
146-94-4733,B,Yangon,Normal,FEMALE,Health and beauty,19.01,9,11.42,973.18,2021-01-02,14:13,Ewallet,416.21,4.76,41.8,8.9,,0.0,9.0,73,Excellent,Soap
891-47-2307,B,Yangon,Member,Male,Sports and travel,70.76,1,6.6,219.9,2021-01-09,17:00,Credit card,215.2,4.76,34.5,,31.0,0.0,49.0,27,very good,Tent
975-39-2654,B,Mandalay,Member,Male,Health and beauty,40.24,1,27.71,771.63,2021-01-03,19:11,CASH,849.28,4.76,17.68,,,0.0,6.0,98,EXCELLENT,Shampoo
489-45-8428,B,Naypyitaw,Normal,male,Health and beauty,55.25,6,8.13,126.01,2021-01-07,16:41,Credit card,422.5,4.76,5.66,4.3,20.0,0.0,51.0,88,Excellent,Toothpaste
750-56-3664,A,Yangon,Normal,Male,Health and beauty,78.84,7,28.84,,2021-01-04,19:51,cash,941.36,4.76,5.16,9.5,,0.0,,90,EXCELLENT,Shampoo
479-55-4432,A,Yangon,Member,Female,Electronic accessories,40.56,9,38.94,722.19,2021-06-02,13:49,CASH,266.38,4.76,30.13,8.3,,6.5,,44,Excellent,Charger
786-44-2169,A,Mandalay,Normal,male,Health and beauty,65.33,6,40.62,539.15,2021-04-02,17:06,Credit card,334.18,4.76,33.51,8.3,19.0,0.0,40.0,15,Good,Toothpaste
723-91-3803,A,Yangon,Member,Male,Fashion accessories,42.7,1,48.95,878.59,2021-01-04,11:48,Cash,51.21,4.76,15.23,8.2,,0.0,53.0,3,good,Belt
646-41-3677,B,Mandalay,Member,male,Fashion accessories,49.24,4,11.36,491.53,2021-01-05,13:11,cash,254.72,4.76,15.09,8.8,31.0,0.0,55.0,20,Poor,Handbag
573-58-5422,B,Naypyitaw,Normal,Female,Food and beverages,54.73,7,,874.5,2021-01-03,10:05,Credit card,319.56,4.76,32.88,9.2,,0.0,,94,Excellent,Coffee
755-98-4598,C,Mandalay,Normal,Female,Home and lifestyle,86.26,6,21.72,97.57,2021-07-02,13:01,Cash,232.94,4.76,20.1,6.0,55.0,0.0,,10,Poor,Chair
801-51-1916,C,Naypyitaw,Member,male,Sports and travel,80.84,4,9.63,400.83,2021-01-08,17:43,cash,213.25,4.76,37.07,4.5,,0.0,,38,good,Travel Pillow
334-14-6168,C,Yangon,Member,Male,Fashion accessories,85.63,10,14.42,691.25,2021-08-02,15:40,Cash,571.75,4.76,26.22,,56.0,0.0,,6,good,Sunglasses
510-44-2084,B,Yangon,Member,male,Sports and travel,58.23,4,43.82,72.35,2021-01-04,17:08,cash,385.23,4.76,26.32,,56.0,0.0,,97,Good,Tent
316-82-6155,A,Yangon,Member,Female,Fashion accessories,35.86,7,21.57,328.58,2021-01-01,14:55,Ewallet,280.61,4.76,31.34,8.6,54.0,0.0,7.0,11,good,Scarf
317-93-9179,A,Yangon,Normal,Male,Electronic accessories,14.28,4,44.76,474.43,2021-01-01,9:36,Ewallet,422.49,4.76,47.02,6.5,26.0,0.0,14.0,19,good,Charger
505-92-8517,A,Naypyitaw,Normal,Male,Electronic accessories,99.66,6,3.63,83.83,2021-08-02,19:20,cash,201.55,4.76,42.13,4.9,,0.0,22.0,69,Poor,Mouse
246-43-3287,B,Yangon,Normal,FEMALE,Electronic accessories,46.18,2,22.0,745.31,2021-01-03,11:09,CASH,457.25,4.76,31.14,8.9,53.0,10.2,,31,EXCELLENT,Power Bank
352-81-9830,C,Mandalay,Normal,male,Fashion accessories,30.33,7,15.55,426.4,2021-01-06,18:18,CASH,102.75,4.76,23.43,9.1,,0.0,46.0,24,Poor,Scarf
369-84-8019,A,Naypyitaw,Member,Female,Home and lifestyle,76.86,10,47.16,558.24,2021-01-07,15:08,Cash,842.11,4.76,19.16,6.8,41.0,5.73,,11,Excellent,Cushion
697-61-6930,C,Naypyitaw,Normal,Female,Food and beverages,18.28,6,27.24,187.41,2021-01-05,9:53,Credit card,550.2,4.76,9.36,5.9,57.0,0.0,6.0,73,EXCELLENT,Tea
324-27-9348,C,Yangon,Normal,male,Sports and travel,85.98,4,48.31,898.08,2021-01-05,18:12,CASH,359.45,4.76,45.63,9.2,,0.0,,42,good,Tent
605-21-1771,B,Yangon,Normal,male,Sports and travel,18.53,4,45.72,485.13,2021-03-02,20:54,Credit card,553.76,4.76,19.18,8.6,37.0,0.0,,47,very good,Tent
981-24-3504,B,Naypyitaw,Normal,Female,Electronic accessories,40.32,1,41.33,922.84,2021-01-08,14:22,Cash,379.74,4.76,38.98,9.4,20.0,0.0,,65,Excellent,Mouse
742-30-7916,A,Mandalay,Normal,Female,Electronic accessories,16.05,9,44.8,935.65,2021-01-01,20:24,Ewallet,325.41,4.76,25.02,4.6,31.0,0.0,0.0,81,Poor,Headphones
710-18-7304,B,Mandalay,Member,male,Food and beverages,82.11,2,36.41,590.61,2021-01-01,10:51,Cash,75.58,4.76,32.12,6.2,42.0,0.0,38.0,74,good,Juice
490-86-8668,B,Yangon,Member,male,Fashion accessories,52.77,10,8.09,360.26,2021-08-02,20:47,Cash,371.28,4.76,28.98,7.0,,0.0,33.0,90,very good,Sunglasses
641-42-1188,B,Yangon,Normal,Male,Health and beauty,28.88,2,41.35,628.89,2021-01-02,19:00,Cash,458.68,4.76,37.96,5.6,54.0,0.0,,61,Poor,Toothpaste
796-24-9797,A,Yangon,Normal,FEMALE,Food and beverages,81.61,10,41.44,821.85,2021-01-02,12:45,cash,37.32,4.76,7.19,9.6,,0.0,41.0,72,Poor,Biscuits
868-44-6573,C,Naypyitaw,Normal,Female,Electronic accessories,68.64,1,1.7,537.0,2021-07-02,19:36,Credit card,368.57,4.76,26.4,,54.0,0.0,44.0,74,very good,Headphones
214-47-8123,C,Mandalay,Member,Male,Fashion accessories,37.17,7,46.76,370.88,2021-01-02,18:22,CASH,131.31,4.76,6.45,7.6,,15.49,23.0,1,Excellent,Scarf
261-68-1053,A,Naypyitaw,Member,male,Sports and travel,82.37,2,16.5,336.89,2021-08-02,11:49,Ewallet,516.69,4.76,30.02,8.4,,0.0,8.0,28,very good,Sneakers
839-43-9201,C,Naypyitaw,Member,FEMALE,Food and beverages,48.96,1,34.02,224.73,2021-01-03,20:37,Credit card,455.66,4.76,9.78,,26.0,0.0,,43,very good,Juice
880-32-9317,C,Mandalay,Normal,Female,Health and beauty,58.6,8,36.39,735.51,2021-05-02,16:52,Cash,650.47,4.76,4.5,5.8,,0.0,,97,Good,Lotion
208-90-5889,A,Naypyitaw,Normal,FEMALE,Fashion accessories,28.01,10,47.22,125.32,2021-04-02,9:49,Ewallet,422.44,4.76,37.51,9.1,63.0,13.52,,77,Good,Sunglasses
961-91-9317,C,Yangon,Member,Male,Home and lifestyle,46.21,2,32.08,966.9,2021-01-01,10:14,CASH,245.99,4.76,23.68,5.7,,0.0,29.0,58,EXCELLENT,Table Cover
723-35-3504,B,Naypyitaw,Member,male,Home and lifestyle,66.25,1,29.34,592.35,2021-01-04,16:07,Cash,102.09,4.76,27.4,6.8,,0.0,,12,good,Curtain
482-30-9837,A,Naypyitaw,Normal,Male,Sports and travel,50.79,5,,634.8,2021-07-02,11:17,Cash,318.89,4.76,33.36,,,1.12,,63,good,Tent
897-77-1009,A,Mandalay,Member,FEMALE,Health and beauty,78.71,7,10.2,804.04,2021-01-02,12:27,Credit card,296.78,4.76,33.47,,,23.71,26.0,63,Good,Soap
713-51-9005,B,Naypyitaw,Normal,Male,Food and beverages,26.25,7,38.94,96.39,2021-02-02,14:35,Credit card,512.56,4.76,31.93,6.8,39.0,0.0,,10,Poor,Coffee
119-24-6947,B,Naypyitaw,Normal,Male,Electronic accessories,11.67,10,11.59,254.45,2021-01-08,14:34,Ewallet,811.94,4.76,4.62,,,0.0,,62,very good,Charger
999-49-4923,B,Yangon,Normal,male,Electronic accessories,73.3,10,10.37,311.05,2021-01-06,14:24,Cash,803.26,4.76,7.75,4.7,,0.0,13.0,89,Good,Keyboard
159-40-2290,B,Naypyitaw,Normal,male,Health and beauty,87.64,7,47.8,226.43,2021-06-02,13:48,Ewallet,732.37,4.76,26.91,5.6,,0.0,12.0,3,Excellent,Face Wash
187-72-2133,A,Yangon,Normal,FEMALE,Food and beverages,61.92,7,18.83,93.46,2021-07-02,11:13,cash,592.79,4.76,10.19,7.2,,0.0,,24,very good,Juice
878-78-3060,A,Mandalay,Member,FEMALE,Health and beauty,29.17,10,16.04,222.2,2021-06-02,9:16,Cash,350.79,4.76,30.81,5.4,24.0,0.0,,4,Excellent,Soap
231-94-8787,A,Naypyitaw,Member,Male,Food and beverages,96.59,1,7.11,54.8,2021-08-02,10:56,CASH,289.16,4.76,43.13,4.4,60.0,0.0,7.0,44,good,Biscuits
662-31-5342,B,Mandalay,Member,Female,Home and lifestyle,76.8,6,49.95,792.95,2021-01-06,20:49,CASH,634.86,4.76,45.04,,48.0,0.0,,52,very good,Lamp
640-87-7932,B,Yangon,Normal,Male,Food and beverages,52.06,2,18.23,311.03,2021-03-02,11:01,Credit card,258.17,4.76,23.64,9.9,52.0,0.0,45.0,64,Good,Biscuits
316-79-4295,B,Mandalay,Member,FEMALE,Food and beverages,94.34,10,21.87,800.75,2021-08-02,11:30,Cash,924.58,4.76,46.39,8.7,47.0,0.0,,57,Excellent,Biscuits
830-49-7537,B,Yangon,Member,Male,Electronic accessories,57.94,10,17.46,142.29,2021-01-09,9:27,Cash,723.42,4.76,37.78,5.8,57.0,0.0,,7,good,Power Bank
787-93-7118,B,Yangon,Member,male,Sports and travel,65.3,4,23.48,723.56,2021-01-06,10:23,CASH,834.69,4.76,26.93,,25.0,15.52,,73,good,Water Bottle
548-76-8397,A,Yangon,Member,Male,Fashion accessories,79.22,3,28.08,630.82,2021-01-06,18:10,Credit card,896.73,4.76,45.88,9.1,22.0,0.0,,38,EXCELLENT,Sunglasses
223-41-4681,B,Yangon,Normal,male,Fashion accessories,49.04,5,22.36,628.85,2021-04-02,16:14,CASH,298.79,4.76,13.87,8.0,65.0,0.0,47.0,9,good,Sunglasses
165-53-1344,B,Naypyitaw,Member,Female,Electronic accessories,60.95,8,33.32,449.73,2021-01-02,17:31,Cash,233.69,4.76,17.11,5.0,,0.0,,16,Poor,Mouse
702-80-4770,A,Yangon,Normal,male,Home and lifestyle,66.41,8,32.07,564.39,2021-01-09,13:03,Ewallet,682.31,4.76,5.85,5.6,,11.56,,32,good,Curtain
702-38-1117,C,Yangon,Normal,Female,Health and beauty,57.0,3,46.96,579.77,2021-01-09,11:38,Credit card,752.72,4.76,14.03,8.1,,0.0,,89,very good,Face Wash
172-90-1964,C,Naypyitaw,Member,Female,Electronic accessories,42.78,1,5.86,353.66,2021-01-05,18:03,CASH,758.37,4.76,46.37,4.9,56.0,0.0,,48,Good,Keyboard
334-18-1514,B,Mandalay,Member,Male,Health and beauty,23.3,10,42.02,194.19,2021-06-02,16:46,CASH,310.92,4.76,21.85,7.3,59.0,0.0,27.0,0,Poor,Lotion
980-52-2160,C,Yangon,Normal,FEMALE,Electronic accessories,23.54,6,1.8,524.03,2021-06-02,20:05,Ewallet,141.61,4.76,38.27,10.0,62.0,0.0,,42,Good,Mouse
626-40-5562,C,Mandalay,Member,FEMALE,Fashion accessories,71.68,9,6.08,211.51,2021-07-02,15:27,CASH,553.83,4.76,8.83,6.6,24.0,0.0,,11,Excellent,Handbag
785-72-4510,A,Naypyitaw,Member,Male,Sports and travel,37.02,3,31.57,432.79,2021-06-02,18:01,Credit card,585.2,4.76,49.75,6.7,,0.0,41.0,50,Excellent,Travel Pillow
652-26-8744,B,Yangon,Normal,Female,Sports and travel,49.18,10,32.04,592.75,2021-04-02,15:14,Credit card,255.02,4.76,49.12,8.1,,21.58,18.0,32,very good,Water Bottle
348-70-7669,A,Yangon,Normal,FEMALE,Electronic accessories,38.68,6,40.49,512.21,2021-01-03,11:08,Ewallet,588.86,4.76,6.14,9.7,28.0,9.99,10.0,69,very good,Charger
294-22-2588,A,Mandalay,Member,male,Electronic accessories,84.72,9,42.73,128.94,2021-02-02,13:33,Credit card,797.08,4.76,9.93,8.2,19.0,6.22,48.0,29,Excellent,Keyboard
774-65-6804,B,Naypyitaw,Member,FEMALE,Fashion accessories,15.8,3,39.07,553.11,2021-02-02,19:57,CASH,899.17,4.76,11.66,5.2,64.0,0.0,,97,Poor,Scarf
533-62-8651,A,Yangon,Normal,Female,Health and beauty,28.32,9,6.61,763.31,2021-07-02,10:21,Credit card,267.8,4.76,2.45,9.5,63.0,0.0,10.0,81,Excellent,Soap
984-16-2612,B,Mandalay,Member,Female,Health and beauty,47.12,9,47.58,494.01,2021-01-04,14:16,Ewallet,562.05,4.76,26.88,8.1,28.0,0.0,15.0,80,Poor,Face Wash
162-61-6559,B,Yangon,Normal,male,Fashion accessories,84.13,7,39.89,605.69,2021-01-04,11:52,Cash,292.28,4.76,17.74,4.8,44.0,0.0,0.0,71,Good,Watch
919-23-5073,C,Yangon,Member,Male,Home and lifestyle,68.14,4,45.49,586.65,2021-01-01,19:40,Credit card,558.93,4.76,22.29,6.6,,0.0,28.0,75,Excellent,Cushion
296-34-9786,B,Yangon,Normal,FEMALE,Home and lifestyle,33.08,4,39.45,776.69,2021-01-04,19:00,cash,278.07,4.76,27.28,6.9,24.0,0.0,,41,Poor,Cushion
559-27-7912,B,Naypyitaw,Normal,Male,Electronic accessories,64.11,6,47.04,319.69,2021-05-02,12:44,Cash,407.12,4.76,38.99,,,0.0,7.0,26,EXCELLENT,Mouse
287-45-8579,B,Naypyitaw,Normal,FEMALE,Sports and travel,46.53,8,25.87,990.2,2021-07-02,20:55,Cash,45.8,4.76,29.33,8.2,42.0,0.0,,30,EXCELLENT,Sneakers
355-19-8260,B,Yangon,Normal,male,Home and lifestyle,20.22,8,33.28,560.71,2021-01-02,13:02,Cash,728.34,4.76,30.88,7.1,,0.0,21.0,57,good,Curtain
927-80-2604,B,Yangon,Member,Male,Home and lifestyle,27.27,6,45.23,951.38,2021-07-02,12:03,cash,799.83,4.76,49.31,10.0,,0.0,,49,very good,Cushion
151-93-9856,C,Naypyitaw,Member,FEMALE,Food and beverages,32.1,10,33.99,425.96,2021-05-02,10:01,cash,673.64,4.76,41.88,5.4,,0.0,39.0,71,EXCELLENT,Tea
956-11-2528,C,Mandalay,Normal,FEMALE,Sports and travel,84.45,10,,155.1,2021-01-02,18:23,CASH,187.63,4.76,4.91,,,0.0,6.0,33,Poor,Water Bottle
871-40-3724,A,Yangon,Member,Female,Health and beauty,51.77,6,2.6,871.65,2021-08-02,15:31,CASH,236.57,4.76,47.32,6.2,,0.0,31.0,14,good,Shampoo
516-72-8886,B,Mandalay,Normal,Female,Health and beauty,60.38,8,,985.16,2021-01-02,18:58,Cash,575.86,4.76,17.49,4.0,,0.0,,96,good,Face Wash
318-61-1960,B,Naypyitaw,Member,FEMALE,Fashion accessories,49.25,1,42.2,572.57,2021-01-08,19:28,Cash,490.46,4.76,1.56,8.1,42.0,0.0,,71,very good,Scarf
268-58-1035,C,Naypyitaw,Normal,Female,Health and beauty,68.22,1,37.32,256.86,2021-06-02,14:27,cash,148.04,4.76,41.23,7.6,39.0,0.0,,58,EXCELLENT,Shampoo
499-43-8454,C,Mandalay,Member,FEMALE,Food and beverages,13.33,4,9.35,314.94,2021-01-01,13:39,CASH,695.11,4.76,37.16,5.2,,0.0,20.0,97,very good,Snacks
392-64-8973,A,Naypyitaw,Member,FEMALE,Electronic accessories,24.34,4,22.07,648.76,2021-02-02,10:23,cash,695.66,4.76,31.24,4.5,,0.0,,51,very good,Power Bank
258-34-5861,B,Yangon,Normal,Female,Electronic accessories,22.28,6,20.18,702.5,2021-01-05,16:37,CASH,231.04,4.76,45.93,7.6,,21.01,19.0,58,Excellent,Keyboard
322-17-9883,B,Mandalay,Normal,Female,Health and beauty,33.26,7,20.27,654.4,2021-01-02,19:49,Cash,559.57,4.76,48.34,9.7,,0.0,,59,Poor,Soap
162-50-1936,A,Mandalay,Member,Female,Sports and travel,82.32,3,46.67,555.88,2021-07-02,14:23,Cash,782.17,4.76,36.29,5.9,32.0,0.0,,85,Good,Backpack
151-84-8811,B,Mandalay,Member,Male,Food and beverages,69.28,1,47.03,433.77,2021-01-04,13:27,CASH,621.14,4.76,31.88,8.4,25.0,0.0,,55,good,Snacks
614-77-3579,B,Yangon,Member,male,Health and beauty,25.84,2,36.68,321.97,2021-05-02,11:15,cash,841.75,4.76,9.18,4.3,,0.0,,7,Good,Lotion
158-75-2312,B,Yangon,Member,FEMALE,Health and beauty,86.73,9,16.59,199.12,2021-01-04,13:30,cash,566.03,4.76,6.16,7.6,,0.0,,1,good,Lotion
971-33-2122,C,Naypyitaw,Member,male,Electronic accessories,96.74,5,12.32,430.05,2021-01-01,10:08,cash,889.06,4.76,23.93,8.3,32.0,0.0,20.0,49,very good,Power Bank
709-18-4853,C,Mandalay,Normal,Male,Fashion accessories,53.73,10,7.19,,2021-01-09,13:29,Credit card,121.78,4.76,3.3,5.0,,0.0,20.0,35,Excellent,Watch
513-25-5033,C,Naypyitaw,Member,Male,Sports and travel,11.79,6,29.27,774.79,2021-03-02,15:00,Cash,175.08,4.76,16.47,7.5,20.0,0.0,,28,EXCELLENT,Tent
692-86-1651,B,Mandalay,Normal,FEMALE,Food and beverages,87.36,1,38.35,699.18,2021-01-05,10:02,Ewallet,919.95,4.76,28.45,5.4,38.0,0.0,,39,Excellent,Juice
734-20-7868,C,Naypyitaw,Normal,FEMALE,Food and beverages,17.55,5,42.03,601.15,2021-02-02,17:03,cash,947.89,4.76,21.84,5.6,63.0,23.29,15.0,41,good,Tea
773-84-9565,A,Mandalay,Normal,male,Home and lifestyle,64.14,5,16.8,447.36,2021-08-02,10:51,CASH,729.43,4.76,21.72,6.9,21.0,0.0,24.0,83,EXCELLENT,Table Cover
423-43-4346,B,Yangon,Member,male,Sports and travel,88.05,6,2.26,77.59,2021-01-02,17:07,Credit card,439.9,4.76,11.18,8.5,47.0,0.0,27.0,91,Excellent,Tent
785-50-4910,B,Naypyitaw,Member,Female,Electronic accessories,91.05,4,,629.22,2021-01-06,9:13,Ewallet,86.31,4.76,41.33,8.4,55.0,0.0,,75,Excellent,Power Bank
371-60-3144,B,Naypyitaw,Normal,male,Fashion accessories,46.63,1,8.5,126.48,2021-01-03,9:51,Ewallet,189.47,4.76,19.31,8.2,63.0,0.0,,91,Excellent,Watch
787-92-5915,B,Naypyitaw,Member,male,Fashion accessories,42.71,5,27.64,438.34,2021-01-08,20:50,Ewallet,821.59,4.76,31.77,7.9,22.0,5.36,36.0,58,Excellent,Sunglasses
568-50-2188,B,Naypyitaw,Normal,Male,Home and lifestyle,69.17,1,29.02,,2021-01-01,15:35,CASH,730.75,4.76,33.19,4.6,44.0,0.0,,86,Poor,Lamp
109-68-2638,A,Mandalay,Normal,male,Electronic accessories,18.13,3,,208.14,2021-01-02,12:06,Credit card,470.62,4.76,37.48,,38.0,0.0,34.0,81,very good,Power Bank
175-78-4492,C,Yangon,Member,Female,Health and beauty,94.88,2,49.19,700.14,2021-04-02,16:25,Credit card,307.25,4.76,27.38,6.2,,0.0,5.0,85,good,Shampoo
618-43-3170,A,Naypyitaw,Member,male,Home and lifestyle,75.18,4,39.1,71.58,2021-04-02,13:48,CASH,813.5,4.76,2.01,6.6,,0.0,,29,Excellent,Curtain
457-18-5002,C,Naypyitaw,Member,FEMALE,Electronic accessories,22.65,4,32.97,800.39,2021-01-02,10:31,Credit card,349.93,4.76,36.37,7.0,,0.0,,10,Excellent,Headphones
478-46-3584,C,Yangon,Normal,Female,Health and beauty,20.07,6,10.5,535.77,2021-01-03,11:27,Ewallet,294.1,4.76,48.1,4.3,,0.0,,81,good,Lotion
548-79-5956,A,Mandalay,Member,FEMALE,Electronic accessories,76.1,9,36.59,917.55,2021-08-02,17:02,Cash,682.97,4.76,1.58,7.7,,0.0,,97,Good,Keyboard
726-93-9666,C,Mandalay,Normal,Male,Fashion accessories,93.96,10,19.53,736.91,2021-01-02,17:00,Cash,409.77,4.76,41.97,4.7,38.0,0.0,50.0,60,EXCELLENT,Sunglasses
108-95-5905,C,Naypyitaw,Normal,Female,Sports and travel,56.98,2,3.54,498.56,2021-02-02,17:06,cash,339.74,4.76,16.6,7.3,,0.0,8.0,97,Good,Tent
779-23-3200,A,Naypyitaw,Normal,Female,Electronic accessories,84.61,3,8.04,239.8,2021-01-02,20:42,cash,766.32,4.76,7.2,5.4,53.0,0.0,,30,very good,Charger
370-24-2753,C,Mandalay,Member,male,Sports and travel,95.47,4,,111.57,2021-09-02,14:28,cash,151.36,4.76,20.33,9.6,41.0,11.12,,5,EXCELLENT,Backpack
860-80-3546,B,Yangon,Normal,Female,Electronic accessories,93.84,6,43.48,598.72,2021-01-02,10:09,cash,745.53,4.76,37.56,9.7,28.0,0.0,24.0,29,EXCELLENT,Keyboard
378-46-4450,C,Yangon,Member,Male,Health and beauty,32.66,7,46.43,699.49,2021-06-02,18:01,Ewallet,64.31,4.76,6.96,,,0.0,,28,EXCELLENT,Toothpaste
834-53-4335,A,Naypyitaw,Member,Male,Sports and travel,89.61,4,7.95,279.79,2021-01-07,20:06,Credit card,39.35,4.76,29.21,8.8,50.0,0.0,,22,EXCELLENT,Tent
803-91-5325,B,Yangon,Member,Male,Food and beverages,31.43,10,9.85,488.34,2021-01-03,14:45,Credit card,307.63,4.76,39.58,9.4,53.0,14.01,17.0,33,Excellent,Tea
617-72-5114,B,Naypyitaw,Member,Female,Sports and travel,21.0,9,42.39,813.5,2021-01-03,9:29,Cash,551.35,4.76,4.91,10.0,,0.0,,74,EXCELLENT,Backpack
966-16-2512,C,Naypyitaw,Normal,Female,Health and beauty,82.6,3,11.19,878.48,2021-08-02,10:12,Ewallet,810.4,4.76,13.18,8.8,,16.06,51.0,53,EXCELLENT,Toothpaste
749-64-5533,A,Mandalay,Normal,male,Sports and travel,39.64,1,39.98,282.62,2021-05-02,17:02,Ewallet,380.98,4.76,43.02,,,0.0,,95,Good,Sneakers
145-10-6464,B,Naypyitaw,Member,Male,Electronic accessories,62.59,5,24.84,116.35,2021-03-02,15:28,Credit card,88.96,4.76,7.16,9.3,61.0,0.0,,92,Excellent,Charger
889-26-5291,C,Yangon,Normal,male,Electronic accessories,45.1,9,11.3,697.92,2021-01-02,10:15,Cash,695.65,4.76,29.1,6.4,,25.27,,92,Poor,Mouse
265-66-8007,B,Yangon,Member,Male,Food and beverages,77.35,8,44.6,543.78,2021-01-04,9:29,Cash,235.57,4.76,24.24,4.5,,0.0,30.0,57,very good,Biscuits
674-11-2832,A,Naypyitaw,Member,male,Sports and travel,31.23,2,23.09,416.05,2021-03-02,20:14,cash,80.24,4.76,7.59,4.2,55.0,0.0,6.0,42,good,Water Bottle
177-98-3442,C,Mandalay,Normal,FEMALE,Electronic accessories,48.06,10,15.64,959.7,2021-01-01,14:05,Ewallet,55.19,4.76,43.44,,,0.0,27.0,96,Excellent,Headphones
658-14-7049,B,Naypyitaw,Normal,FEMALE,Sports and travel,22.99,9,33.32,560.47,2021-01-09,9:52,cash,855.46,4.76,18.13,9.3,,25.34,,63,very good,Travel Pillow
696-80-3426,A,Yangon,Normal,Male,Home and lifestyle,25.76,9,42.89,626.63,2021-01-09,13:23,Credit card,834.67,4.76,12.92,,,23.8,32.0,33,Good,Cushion
540-26-1685,B,Naypyitaw,Normal,male,Electronic accessories,97.29,9,17.8,729.03,2021-03-02,17:17,Credit card,128.11,4.76,21.9,10.0,58.0,0.0,49.0,43,EXCELLENT,Charger
